calidad,pH,alcohol,interaccion
5,3.18,11.2,35.616
7,3.3,12,39.599999999999994
5,3.69,10.5,38.745
5,3.48,9.8,34.104
6,3.45,9.5,32.775
5,3.48,9.8,34.104
5,3.69,10.5,38.745
6,3.39,11.8,40.002
6,3.39,11.8,40.002
4,3.07,10.4,31.928
7,3.34,12.9,43.086
5,3.61,11.4,41.153999999999996
7,3.36,12.4,41.664
7,3.19,12.5,39.875
7,3.22,10,32.2
7,3.24,9.7,31.428
7,3.27,12.1,39.567
7,3.14,11.1,34.854
7,3.29,12,39.480000000000004
7,3.26,12.4,40.424
7,3.41,11.9,40.579
7,3.41,11.9,40.579
7,3.41,11.9,40.579
7,3.26,12.4,40.424
7,3.31,11.2,37.071999999999996
7,3.2,12.1,38.72
6,3.44,12.2,41.967999999999996
5,3.36,10.4,34.944
6,3.31,11.3,37.403000000000006
6,3.29,11.1,36.519
7,3.47,11.3,39.211000000000006
5,3.36,10,33.6
6,3.16,11.1,35.076
5,3.27,9.3,30.411
5,3.38,9.5,32.11
6,3.15,11.2,35.279999999999994
6,3.16,11.1,35.076
6,3.34,11,36.739999999999995
7,3.13,11.9,37.247
5,3.13,9.2,28.795999999999996
6,3.2,12.2,39.04
5,3.46,10.2,35.291999999999994
6,3.33,10.9,36.297000000000004
6,3.33,10.9,36.297000000000004
7,3.22,11.6,37.352000000000004
5,3.52,10.7,37.663999999999994
7,3.3,12.1,39.93
5,3.44,9.4,32.336
5,3.44,9.4,32.336
5,3.15,9.1,28.665
7,3.28,11.3,37.064
5,3.13,10.4,32.552
6,3.32,10.5,34.86
5,3.25,10,32.5
6,3.34,12.9,43.086
6,3.32,10.5,34.86
5,3.13,10.4,32.552
6,3.45,11.3,38.98500000000001
7,3.19,11.4,36.366
5,3.44,9.4,32.336
5,3.16,9.4,29.704000000000004
6,3.14,10.9,34.226
5,3.16,9.4,29.704000000000004
5,3.45,9.4,32.43
6,3.36,9.4,31.584
5,3.45,9.4,32.43
5,3.15,9.4,29.61
6,3.39,10.1,34.239
7,3.71,12.8,47.488
7,3.71,12.8,47.488
6,3.12,9.1,28.392
6,3.47,12.9,44.763000000000005
7,3.44,11.5,39.56
7,3.26,10.6,34.556
7,3.26,11.7,38.141999999999996
7,3.36,12.8,43.008
5,3.25,10.3,33.475
7,3.36,12.8,43.008
7,3.26,11.7,38.141999999999996
7,3.26,11.7,38.141999999999996
7,3.23,12,38.76
5,3.18,10.9,34.662000000000006
7,3.25,12.3,39.975
6,3.17,10.4,32.968
5,3.23,10,32.3
6,3.38,10,33.8
6,3.22,11.2,36.064
6,3.06,11.4,34.884
7,3.27,12.6,41.202
6,2.89,12.7,36.703
6,2.89,12.7,36.703
5,3.53,10.4,36.711999999999996
6,3.2,11.9,38.080000000000005
6,3.2,11.9,38.080000000000005
5,3.35,10.5,35.175000000000004
6,3.27,12.3,40.221000000000004
7,3.32,10.5,34.86
6,3.33,10.4,34.632000000000005
6,3.41,12.6,42.966
5,3.49,11.6,40.484
6,3.37,10.1,34.037
7,3.32,10.5,34.86
7,3.42,11.5,39.33
7,3.35,11,36.85
5,3.36,9.6,32.256
6,3.3,10.4,34.32
6,3.2,9.7,31.04
7,3.17,10.6,33.602
7,3.22,12.5,40.25
5,3.35,9.2,30.819999999999997
7,3.24,12.6,40.824
6,3.33,11.1,36.963
5,3.58,10.2,36.516
6,3.38,9.8,33.124
6,3.33,11.1,36.963
7,3.29,10.9,35.861000000000004
6,3.36,12.2,40.992
6,3.32,11.4,37.848
6,3.31,10.7,35.417
5,3.49,10.4,36.29600000000001
6,3.27,10.9,35.643
6,3.27,10.8,35.316
5,3.49,10.4,36.29600000000001
5,3.03,9.2,27.875999999999998
5,3.56,12.9,45.924
7,3.38,12.7,42.925999999999995
6,3.13,9.1,28.482999999999997
6,3.13,9.1,28.482999999999997
7,3.21,12.1,38.841
5,3.15,9.1,28.665
7,3.19,11.6,37.004
7,3.21,12.1,38.841
6,3.14,9.9,31.086000000000002
8,3.21,12.5,40.125
6,3.3,11.4,37.62
6,3.22,11.8,37.996
6,3.28,11.8,38.704
6,3.29,10.2,33.558
7,3.4,12.5,42.5
7,3.02,10.9,32.918
7,3.02,10.9,32.918
5,3.31,10.8,35.748000000000005
7,3.18,11.1,35.298
5,3.2,9.2,29.439999999999998
6,3.4,9.5,32.3
6,3.31,10.7,35.417
5,3.2,9.2,29.439999999999998
7,3.44,10.2,35.087999999999994
6,3.15,11.4,35.91
5,3.27,11,35.97
5,3.27,11,35.97
7,3.01,12.3,37.022999999999996
6,3.16,11.8,37.288000000000004
7,3.01,12.3,37.022999999999996
6,3.42,9.5,32.49
6,3.33,12,39.96
6,3.42,9.5,32.49
5,3.12,9.6,29.951999999999998
7,3.38,11.6,39.208
6,3.29,11.2,36.848
7,3.02,9.9,29.898
7,3.02,9.9,29.898
8,2.98,11.8,35.164
6,3.35,11.4,38.190000000000005
6,3.43,11.5,39.445
7,3.33,12,39.96
6,3.35,10.8,36.18000000000001
5,3.15,10.5,33.074999999999996
6,3.35,10.8,36.18000000000001
5,3.2,9.4,30.080000000000002
7,3.15,12.5,39.375
5,3.2,9.4,30.080000000000002
6,3.11,12.4,38.564
6,3.35,12,40.2
6,3.45,11.2,38.64
6,3.35,12,40.2
6,3.28,12.4,40.672
5,3.41,12.8,43.648
6,3.21,12.3,39.483000000000004
7,3.27,11.7,38.259
5,3.36,9.5,31.919999999999998
6,3.17,10.8,34.236000000000004
6,3.25,10,32.5
7,3.78,12.3,46.494
6,3.29,11,36.19
6,3.12,9.5,29.64
6,3.49,13.6,47.464
6,3.38,11.3,38.194
6,3.38,11.3,38.194
6,3.38,11.3,38.194
6,3.3,13.3,43.89
5,3.52,12.9,45.408
8,3.2,13.1,41.92
6,3.44,12.3,42.312000000000005
6,3.45,12.3,42.435
6,3.12,11.2,34.943999999999996
4,3.62,11.5,41.63
7,3.14,11.3,35.482000000000006
6,3.39,13.5,45.765
6,3.51,11.5,40.364999999999995
5,3.22,10,32.2
6,3.21,10.5,33.705
6,3.18,10.4,33.072
5,3.32,9.5,31.54
7,3.38,13.6,45.967999999999996
7,3.37,11.2,37.744
7,3.3,11.8,38.94
6,3.38,11.9,40.222
6,3.22,11.4,36.708000000000006
6,3.22,11.4,36.708000000000006
5,3.14,9.1,28.574
6,3.34,9.5,31.729999999999997
6,3.41,9.5,32.395
6,3.27,11,35.97
6,3.3,11.4,37.62
6,3.61,10,36.1
5,3.43,10.1,34.643
6,3.53,10.4,36.711999999999996
6,3.28,9.8,32.144
7,3.21,11.8,37.878
6,3.39,11.6,39.324
6,3.23,12,38.76
7,3.3,12.8,42.24
6,3.46,12.5,43.25
5,3.15,9.8,30.87
6,3.23,11.1,35.853
6,3.59,11.4,40.926
5,3.15,9.8,30.87
7,3.33,11.8,39.294000000000004
7,3.46,12.9,44.634
6,3.42,10.6,36.251999999999995
5,3.16,10.8,34.12800000000001
7,3.14,11.1,34.854
6,3.21,10.2,32.742
7,3.14,11.8,37.05200000000001
5,3.29,10,32.9
5,3.29,10,32.9
5,3.01,9.4,28.294
5,2.94,10.2,29.987999999999996
7,3.32,12.4,41.168
6,3.21,12,38.519999999999996
6,3.32,11.5,38.18
6,3.2,10.5,33.6
6,3.42,10.8,36.936
6,3.27,12.3,40.221000000000004
6,3.46,9.5,32.87
6,3.46,9.5,32.87
6,3.61,11.5,41.515
4,3.58,11.2,40.096
7,3.35,12.7,42.545
5,3.68,11.4,41.952000000000005
6,3.27,11,35.97
6,3.27,11,35.97
5,3.19,11.4,36.366
6,3.38,10.5,35.49
5,3.29,9.3,30.597
5,3.36,10.9,36.624
6,3.33,11.9,39.627
5,3.52,12.2,42.943999999999996
6,3.33,11.9,39.627
5,3.36,10.9,36.624
4,3.3,9.6,31.679999999999996
6,3.28,12.5,41
5,3.56,10.8,38.448
7,3.52,12.4,43.648
5,3.56,10.8,38.448
6,3.22,9.5,30.590000000000003
6,3.52,9.5,33.44
6,3.21,9.5,30.495
6,3.16,9.8,30.968000000000004
6,3.15,10.9,34.335
6,3.21,9.5,30.495
6,3.16,9.8,30.968000000000004
7,3.27,11.2,36.623999999999995
8,3.35,11.7,39.195
5,3.14,9.4,29.516000000000002
7,3.4,11,37.4
7,3.4,11,37.4
7,3.4,11,37.4
5,3.35,10,33.5
7,3.4,11,37.4
7,3.45,11.2,38.64
6,3.35,10.4,34.84
5,3.32,9.3,30.876
6,3.35,10.4,34.84
6,3.15,10.5,33.074999999999996
6,3.1,10.4,32.24
6,3.26,11.3,36.838
6,3.29,9.5,31.255
6,3.23,12,38.76
6,3.24,10.6,34.344
6,3.2,10.9,34.88
6,3.28,11.5,37.72
6,3.28,11.5,37.72
6,3.26,9.6,31.295999999999996
6,3.23,12,38.76
6,3.07,10.3,31.621000000000002
5,3.15,9.4,29.61
5,3.02,9.2,27.784
5,3.27,9.6,31.392
7,3.68,13.6,50.048
5,3.4,9.5,32.3
6,3.37,11.8,39.766000000000005
5,3.38,10.8,36.504
5,3.4,9.5,32.3
4,3.23,9.3,30.039
6,3.39,12.8,43.392
4,3.3,11.5,37.949999999999996
6,3.26,9.4,30.644
6,3.39,12.8,43.392
4,3.38,9.6,32.448
4,3.45,11.8,40.71000000000001
5,3.1,9.3,28.830000000000002
5,3.16,9.8,30.968000000000004
6,3.22,12.2,39.284
5,3.37,9.5,32.015
6,3.33,10.3,34.29900000000001
5,3.49,10.5,36.645
5,3.12,10,31.200000000000003
5,3.49,10.5,36.645
6,3.41,11.1,37.851
6,3.4,10.9,37.06
6,3.4,10.9,37.06
5,3.28,9.8,32.144
5,3.45,9.8,33.81
5,3.43,9.5,32.585
5,3.4,10.9,37.06
5,3.47,11,38.17
5,3.1,9.2,28.52
6,3.32,11,36.519999999999996
6,3.44,11.3,38.872
6,3.44,11.3,38.872
5,3.02,9.3,28.086000000000002
4,3.59,11.2,40.208
5,3.15,9.8,30.87
4,3.37,9.6,32.352
6,3.38,11.8,39.884
6,3.38,10.3,34.814
6,3.38,10.3,34.814
6,3.1,11.4,35.34
6,3.47,9.5,32.965
8,3.5,14,49
6,3.7,14,51.800000000000004
6,3.38,11.7,39.546
5,3.5,11.2,39.199999999999996
5,3.1,9.3,28.830000000000002
6,3.24,11.2,36.288
6,3.24,9.5,30.78
4,3.28,12,39.36
6,3.35,9.7,32.495
6,3.24,9.5,30.78
7,3.14,11.5,36.11
6,3.37,10.4,35.048
6,3.37,10.4,35.048
6,3.33,10.9,36.297000000000004
6,3.26,10.2,33.251999999999995
5,3.39,10.9,36.951
5,3.15,10.5,33.074999999999996
6,3.35,12.4,41.54
5,3.22,13,41.86
5,3.3,10.2,33.66
5,3.3,10.2,33.66
5,3.36,11,36.96
6,3.29,10.9,35.861000000000004
6,3.62,12.4,44.888000000000005
4,3.34,9.7,32.397999999999996
6,3.29,10.9,35.861000000000004
5,3.2,9.5,30.400000000000002
5,3.2,9.5,30.400000000000002
6,3.35,12.1,40.535
6,3.45,12.2,42.089999999999996
3,3.5,10.9,38.15
6,3.78,12.5,47.25
6,3.6,11.7,42.12
6,3.3,11.2,36.959999999999994
5,3.36,11.2,37.632
5,3.12,9.2,28.703999999999997
5,3.3,9.8,32.34
5,3.29,10.1,33.229
4,3.41,11.1,37.851
5,3.29,10.1,33.229
5,3.28,9.2,30.175999999999995
5,3.3,9.8,32.34
6,3.33,12.8,42.624
5,3.34,10.5,35.07
6,3.4,10.1,34.339999999999996
6,3.4,10.1,34.339999999999996
6,3.26,9.8,31.948
6,4.01,12.5,50.125
6,3.18,11.9,37.842000000000006
6,3.26,9.8,31.948
6,2.9,9.1,26.389999999999997
5,3.26,10.1,32.925999999999995
6,4.01,12.5,50.125
5,3.18,11.4,36.252
7,3.18,11,34.980000000000004
6,3.39,10.6,35.934
6,3.39,10.6,35.934
6,3.39,10.6,35.934
6,3.39,10.6,35.934
5,3.34,9.3,31.062
6,3.29,9.8,32.242000000000004
6,3.29,9.8,32.242000000000004
5,3.26,9.2,29.991999999999997
6,3.09,9.7,29.972999999999995
5,3.18,9.6,30.528
5,3.39,10,33.9
6,3.38,12.6,42.588
5,3.36,9.5,31.919999999999998
5,3.36,9.5,31.919999999999998
5,3.36,9.5,31.919999999999998
6,3.36,10.5,35.28
6,3.36,10.5,35.28
6,3.36,10.5,35.28
6,3.37,10.4,35.048
6,3.36,10.5,35.28
5,3.09,11,33.989999999999995
6,3.25,10.2,33.15
5,3.52,11.4,40.128
5,3.34,9.5,31.729999999999997
5,3.34,9.5,31.729999999999997
5,3.41,10.8,36.828
5,3.34,10,33.4
6,3.32,11.8,39.176
5,3.37,10.3,34.711000000000006
5,3.37,10.3,34.711000000000006
5,3.35,10,33.5
5,3.36,10.1,33.936
5,3.36,10.1,33.936
6,3.6,11.1,39.96
5,3.28,9.5,31.159999999999997
6,3.07,10.03333333,30.802333333333227
5,3.24,10.9,35.316
5,3.36,10.1,33.936
6,3.07,10.03333333,30.802333333333227
4,3.29,9.8,32.242000000000004
6,3.46,11.8,40.828
5,3.18,9.5,30.21
5,3.24,9.8,31.752000000000006
6,3.25,10.5,34.125
6,3.27,9.8,32.046
4,3.33,10.4,34.632000000000005
5,3,9.2,27.599999999999998
6,3.21,11.6,37.236
5,3,9.2,27.599999999999998
5,3.24,9.3,30.132000000000005
3,3.32,9.8,32.536
5,3.26,9.9,32.274
5,3.11,10,31.099999999999998
6,3.71,12.2,45.262
6,3.29,9.9,32.571000000000005
6,3.36,10.8,36.288000000000004
6,3.36,10.8,36.288000000000004
5,3.38,9.6,32.448
5,3.3,9.9,32.67
5,3.3,9.9,32.67
5,3.19,9.5,30.305
5,3.19,9.2,29.348
5,3.3,9.6,31.679999999999996
5,3.3,9.6,31.679999999999996
5,3.35,10.3,34.505
5,3.1,9.7,30.07
6,3.58,12.5,44.75
5,3.37,11,37.07
5,3.17,9.8,31.066000000000003
5,3.3,10.2,33.66
5,3.32,9.2,30.543999999999997
6,3.31,9.55,31.610500000000002
5,3.31,9.55,31.610500000000002
5,3.28,9.9,32.472
7,3.52,10.2,35.903999999999996
6,3.42,11.1,37.961999999999996
5,3.25,9.9,32.175000000000004
5,3.25,9.9,32.175000000000004
6,3.44,11.9,40.936
8,3.23,10,32.3
6,3.43,10.7,36.701
7,3.28,11.3,37.064
6,3.22,10.9,35.098000000000006
6,3.54,10.7,37.878
7,3.27,12.4,40.548
6,3.54,10.7,37.878
6,3.5,11.9,41.65
6,3.56,10.6,37.736
6,3.22,10.9,35.098000000000006
5,3.04,10.1,30.704
5,3.2,9.6,30.72
5,3.56,9.4,33.464
5,3.2,9.6,30.72
7,3.35,12.1,40.535
5,3.16,9.8,30.968000000000004
5,3.27,9.9,32.373000000000005
5,3.16,9.8,30.968000000000004
5,3.34,9.4,31.396
6,3.39,11.4,38.646
4,3.5,11,38.5
6,3.26,9.6,31.295999999999996
6,3.26,9.6,31.295999999999996
6,3.41,12.1,41.261
5,3.3,11.2,36.959999999999994
5,3.31,11,36.410000000000004
5,3.33,11.3,37.629000000000005
5,3.37,10.4,35.048
6,3.26,9.9,32.274
6,3.48,11.7,40.715999999999994
7,3.42,10.1,34.542
6,3.18,9,28.62
6,3.18,9,28.62
5,3.15,8.5,26.775
5,3.53,11.1,39.183
5,3.41,10.3,35.123000000000005
6,3.32,11.066666666666698,36.741333333333436
7,3.23,11.3,36.499
6,3.16,9.566666667,30.23066666666668
5,3.4,9.8,33.32
5,3.38,11.7,39.546
6,3.32,11.1,36.852
6,3.16,9.6,30.336
5,3.4,9.8,33.32
5,3.4,9.7,32.98
5,3.4,9.7,32.98
8,3.23,11.3,36.499
7,3.23,11.3,36.499
7,3.33,11,36.63
7,3.35,11.6,38.86
5,3.41,9,30.69
6,3.21,10.9,34.989
6,3.5,10.9,38.15
6,3.3,10.55,34.815
5,3.41,9,30.69
5,3.39,10.5,35.595
7,3.32,11.9,39.508
6,3.41,10.4,35.464000000000006
4,3.59,10,35.9
6,3.36,10.4,34.944
6,3.34,10.8,36.072
5,3.41,9.7,33.077
5,3.41,9.7,33.077
7,3.3,10,33
4,3.52,11,38.72
7,3.3,10,33
3,3.31,9.7,32.107
5,2.88,9.7,27.935999999999996
5,3.43,12.6,43.218
6,3.38,11.1,37.518
5,3.38,11,37.18
5,3.16,8.8,27.808000000000003
7,3.54,13.566666666666698,48.02600000000011
5,3.16,8.8,27.808000000000003
7,3.54,13.6,48.144
3,3.4,10.2,34.68
5,3.39,10.6,35.934
4,3.66,10.1,36.966
5,3.39,10.6,35.934
4,3.33,10.3,34.29900000000001
5,3.35,10.7,35.845
4,3.53,10.9,38.477
5,3.37,9.7,32.689
5,3.38,10.3,34.814
5,3.52,10.6,37.312
5,3.72,11.4,42.408
6,3.44,10.8,37.152
6,3.39,12.4,42.036
5,3.72,11.4,42.408
5,3.57,11.95,42.6615
5,3.26,9.7,31.621999999999996
7,3.42,10,34.2
6,3.35,10.6,35.51
5,3.26,9.7,31.621999999999996
6,3.45,11.5,39.675000000000004
6,3.53,10.8,38.124
6,3.45,11.5,39.675000000000004
5,3.26,9.6,31.295999999999996
5,3.16,9.4,29.704000000000004
5,3.31,9.8,32.438
6,3.51,11,38.61
6,3.36,11.4,38.304
3,3.55,9.95,35.3225
6,3.51,10.8,37.908
6,3.36,11.4,38.304
6,3.38,10.6,35.827999999999996
5,3.28,11.1,36.407999999999994
6,3.47,9.7,33.659
5,3.44,9.8,33.712
6,3.53,10.4,36.711999999999996
6,3.33,10.5,34.965
6,3.53,9.233333333,32.59366666666666
6,3.53,9.25,32.652499999999996
5,3.42,10.6,36.251999999999995
6,3.38,10.3,34.814
5,3.32,10.5,34.86
5,3.44,10.2,35.087999999999994
6,3.38,10.3,34.814
4,3.39,9.05,30.679500000000004
5,3.42,10.6,36.251999999999995
5,3.34,10.4,34.736
6,3.39,10,33.9
5,3.33,9.7,32.300999999999995
6,3.3,9.6,31.679999999999996
6,3.29,10.8,35.532000000000004
6,3.31,10.1,33.431
6,3.42,10.2,34.884
6,3.42,11.3,38.646
5,3.6,10.2,36.72
6,3.21,9.9,31.779
5,3.39,9,30.51
7,3.42,11.7,40.013999999999996
6,3.36,9.7,32.592
6,3.6,10.3,37.080000000000005
6,3.5,10.2,35.699999999999996
5,3.57,12,42.839999999999996
5,3.46,9.9,34.254
6,3.56,11.6,41.296
7,3.4,10.9,37.06
6,3.3,10.75,35.475
6,3.25,10.4,33.800000000000004
7,3.17,11.2,35.504
6,3.36,10.1,33.936
5,3.36,10.2,34.272
5,3.55,12.1,42.955
5,3.1,10.4,32.24
8,3.24,11.4,36.93600000000001
5,3.45,9.5,32.775
5,3.44,9.4,32.336
6,3.51,11.3,39.663
5,3.41,9.4,32.054
6,3.54,11,38.94
7,3.44,10.55,36.292
5,3.53,9.9,34.947
6,3.54,11,38.94
5,3.22,9.5,30.590000000000003
5,3.21,9.9,31.779
5,3.21,9.9,31.779
5,3.21,9.9,31.779
5,3.29,10.1,33.229
5,3.29,10.1,33.229
5,3.29,10.1,33.229
6,3.39,10.9,36.951
6,3.34,11.2,37.407999999999994
5,3.29,10.1,33.229
5,3.34,9.2,30.727999999999998
6,3.48,11.5,40.02
6,3.37,12.4,41.788000000000004
6,3.44,11.1,38.184
5,3.33,9.5,31.635
6,3.58,12.5,44.75
6,3.39,10.5,35.595
6,3.26,11.8,38.467999999999996
6,3.3,10.8,35.64
6,3.54,11.9,42.126000000000005
6,3.42,11.3,38.646
5,3.54,11.3,40.002
6,3.36,11.9,39.984
5,3.54,11.3,40.002
5,3.57,11.9,42.483
5,3.33,9.8,32.634
7,3.29,11.6,38.164
6,3.3,11.5,37.949999999999996
6,3.34,11.4,38.076
6,3.55,10.9,38.695
6,3.27,12.8,41.856
5,3.29,9.2,30.267999999999997
6,3.32,11.6,38.512
6,3.67,11.6,42.571999999999996
6,3.42,11,37.62
6,3.42,9.5,32.49
5,3.45,10.5,36.225
6,3.52,11.2,39.424
6,3.42,11,37.62
5,3.57,10.2,36.413999999999994
6,3.39,11,37.29
